timestamp,datetime_utc,cpu_cores
1764249737,2025-11-27T13:22:17,0
1764249752,2025-11-27T13:22:32,0
1764249767,2025-11-27T13:22:47,0
1764249782,2025-11-27T13:23:02,0
1764249797,2025-11-27T13:23:17,0
1764249812,2025-11-27T13:23:32,0
1764249827,2025-11-27T13:23:47,0
1764249842,2025-11-27T13:24:02,0
1764249857,2025-11-27T13:24:17,0
1764249872,2025-11-27T13:24:32,0
1764249887,2025-11-27T13:24:47,0
1764249902,2025-11-27T13:25:02,0
1764249917,2025-11-27T13:25:17,0
1764249932,2025-11-27T13:25:32,0
1764249947,2025-11-27T13:25:47,0
1764249962,2025-11-27T13:26:02,0
1764249977,2025-11-27T13:26:17,0
1764249992,2025-11-27T13:26:32,0
1764250007,2025-11-27T13:26:47,0
1764250022,2025-11-27T13:27:02,0
1764250037,2025-11-27T13:27:17,0
1764250052,2025-11-27T13:27:32,0
1764250067,2025-11-27T13:27:47,0
1764250082,2025-11-27T13:28:02,0
1764250097,2025-11-27T13:28:17,0
1764250112,2025-11-27T13:28:32,0
1764250127,2025-11-27T13:28:47,0
1764250142,2025-11-27T13:29:02,0.00007133997686159026
1764250157,2025-11-27T13:29:17,0.00004982679746167692
1764250172,2025-11-27T13:29:32,0.000043947498645050325
1764250187,2025-11-27T13:29:47,0
1764250202,2025-11-27T13:30:02,0
1764250217,2025-11-27T13:30:17,0
1764250232,2025-11-27T13:30:32,0
1764250247,2025-11-27T13:30:47,0
1764250262,2025-11-27T13:31:02,0
1764250277,2025-11-27T13:31:17,0
1764250292,2025-11-27T13:31:32,0
1764250307,2025-11-27T13:31:47,0
1764250322,2025-11-27T13:32:02,0
1764250337,2025-11-27T13:32:17,0
1764250352,2025-11-27T13:32:32,0
1764250367,2025-11-27T13:32:47,0
1764250382,2025-11-27T13:33:02,0
1764250397,2025-11-27T13:33:17,0
1764250412,2025-11-27T13:33:32,0
1764250427,2025-11-27T13:33:47,0
1764250442,2025-11-27T13:34:02,0
1764250457,2025-11-27T13:34:17,0
1764250472,2025-11-27T13:34:32,0
1764250487,2025-11-27T13:34:47,0
1764250502,2025-11-27T13:35:02,0
1764250517,2025-11-27T13:35:17,0
1764250532,2025-11-27T13:35:32,0
1764250547,2025-11-27T13:35:47,0
1764250562,2025-11-27T13:36:02,0
1764250577,2025-11-27T13:36:17,0
1764250592,2025-11-27T13:36:32,0
1764250607,2025-11-27T13:36:47,0
